x,y,z
-0.3418,-0.9143,0.2959
-0.3411,-0.8987,0.3198
-0.3357,-0.9089,0.3118
-0.3589,-0.9009,0.3101
-0.333,-0.9077,0.3157
-0.3369,-0.8911,0.3025
-0.3259,-0.916,0.313
-0.3438,-0.9099,0.3081
-0.3413,-0.8967,0.3137
-0.3396,-0.906,0.3054
-0.3357,-0.894,0.2949
-0.3279,-0.8982,0.2986
-0.3188,-0.8875,0.2964
-0.3376,-0.9038,0.2974
-0.3562,-0.9072,0.3022
-0.3569,-0.8938,0.3093
-0.3237,-0.9053,0.3091
-0.342,-0.9048,0.2952
-0.3289,-0.9131,0.3147
-0.354,-0.9033,0.2971
-0.3438,-0.9143,0.3093
-0.3521,-0.9075,0.2949
-0.3489,-0.9058,0.291
-0.3511,-0.9148,0.2998
-0.3494,-0.897,0.2866
-0.3264,-0.8972,0.302
-0.3506,-0.9067,0.3181
-0.342,-0.9099,0.2932
-0.3423,-0.9097,0.2952
-0.3552,-0.9053,0.3015
-0.3347,-0.8972,0.2827
-0.3455,-0.8989,0.3025
-0.3372,-0.9055,0.2766
-0.335,-0.9011,0.3052
-0.3425,-0.9143,0.3066
-0.354,-0.9084,0.3022
-0.3455,-0.9053,0.3062
-0.3462,-0.9124,0.3062
-0.3135,-0.8906,0.3098
-0.3479,-0.9148,0.2959
-0.3328,-0.8896,0.3035
-0.3489,-0.915,0.2922
-0.3245,-0.9216,0.2922
-0.335,-0.9045,0.3054
-0.3335,-0.9011,0.3003
-0.3574,-0.9258,0.2913
-0.3406,-0.8994,0.2903
-0.3401,-0.8965,0.2942
-0.3462,-0.9119,0.293
-0.3601,-0.9001,0.2974
-0.321,-0.9238,0.2922
-0.3533,-0.9153,0.2898
-0.3193,-0.8984,0.292
-0.3438,-0.9053,0.301
-0.3503,-0.9165,0.2976
-0.3311,-0.9028,0.293
-0.3313,-0.9087,0.2922
-0.3369,-0.906,0.2803
-0.3545,-0.9019,0.2939
-0.3396,-0.9172,0.2935
-0.3428,-0.8997,0.2869
-0.342,-0.9075,0.2925
-0.3462,-0.8958,0.2864
-0.3296,-0.9031,0.3027
-0.3552,-0.9077,0.2983
-0.3496,-0.9106,0.2837
-0.3508,-0.9041,0.2861
-0.344,-0.9097,0.2949
-0.3525,-0.908,0.2888
-0.3318,-0.9019,0.2881
-0.3352,-0.8984,0.2991
-0.3352,-0.9092,0.3127
-0.3372,-0.9138,0.3074
-0.3545,-0.9075,0.3103
-0.3438,-0.9062,0.3086
-0.355,-0.9072,0.3101
-0.3372,-0.9072,0.3
-0.3381,-0.9126,0.2957
-0.3406,-0.8965,0.2856
-0.3513,-0.8923,0.3081
-0.343,-0.8928,0.2959
-0.3445,-0.9116,0.2905
-0.3396,-0.9072,0.3059
-0.3428,-0.9011,0.3135
-0.3533,-0.9016,0.313
-0.3447,-0.9023,0.2842
-0.3525,-0.9038,0.2898
-0.3289,-0.9067,0.2983
-0.335,-0.9109,0.3047
-0.3501,-0.9077,0.3062
-0.3291,-0.9023,0.2961
-0.3328,-0.906,0.3027
-0.3518,-0.9075,0.3098
-0.3311,-0.9106,0.281
-0.3337,-0.9253,0.3025
-0.3325,-0.9065,0.3018
-0.3362,-0.9099,0.2915
-0.332,-0.9009,0.2917
-0.3469,-0.9187,0.2913
-0.3318,-0.9011,0.2981
-0.3472,-0.8999,0.2949
-0.3438,-0.9128,0.2986
-0.3391,-0.8987,0.2954
-0.3369,-0.9114,0.2991
-0.343,-0.9026,0.2937
-0.3413,-0.9048,0.282
-0.3433,-0.905,0.3008
-0.3574,-0.9028,0.29
-0.3345,-0.8936,0.3037
-0.3298,-0.9136,0.2986
-0.3416,-0.8999,0.3076
-0.343,-0.9214,0.2966
-0.3384,-0.9167,0.3027
-0.3508,-0.9202,0.2959
-0.3379,-0.9075,0.3062
-0.3352,-0.9055,0.2876
-0.3335,-0.9023,0.3018
-0.3157,-0.9136,0.2935
-0.3318,-0.9094,0.2891
-0.3298,-0.9001,0.2764
-0.304,-0.895,0.2556
-0.2227,-0.8816,0.23
-0.2063,-0.8977,0.2029
-0.2451,-0.9062,0.1914
-0.3308,-0.8813,0.1829
-0.4426,-0.9067,0.2478
-0.4705,-0.9116,0.3213
